Opgørelsesår,Kommune,Fødselsårgang,Køn,Antal børn,Gennemsnitlig højde i cm,Gennemsnitlig vægt i gram,Procentdel undervægt,Procentdel normalvægt,Procentdel moderat overvægt,Procentdel svær overvægt,urban_rural
2015,Aarhus,1999.0,Begge,2965,170.80944350758853,61562.4957841484,1.7537942664418211,81.31534569983137,13.524451939291737,3.406408094435076,Urban
2016,Aarhus,2000.0,Begge,2880,171.13333333333333,62051.11111111111,1.6666666666666667,80.625,13.958333333333334,3.75,Urban
2017,Aarhus,2001.0,Begge,2926,170.87115516062883,62492.071086807926,2.0164046479835953,78.22966507177034,15.208475734791524,4.545454545454546,Urban
2018,Aarhus,2002.0,Begge,2905,170.9487091222031,62081.101549053354,2.1686746987951806,78.58864027538726,15.524956970740103,3.7177280550774525,Urban
2019,Aarhus,2003.0,Begge,2913,170.48815653964985,60998.18056985925,2.1283899759697906,80.98180569859251,13.62856162032269,3.2612427051150013,Urban
2020,Aarhus,2004.0,Begge,2975,170.54823529411766,61109.41176470588,2.2857142857142856,80.03361344537815,13.949579831932773,3.73109243697479,Urban
2021,Aarhus,2005.0,Begge,2966,170.82973701955495,61245.49898853675,2.461227242076871,79.8718813216453,13.216453135536074,4.450438300741739,Urban
2022,Aarhus,2006.0,Begge,2846,171.82607167955024,61767.638791286015,2.5650035137034433,81.20168657765284,12.9304286718201,3.302881236823612,Urban
2023,Aarhus,2007.0,Begge,2700,172.17333333333335,61782.18518518518,2.259259259259259,83.4074074074074,11.11111111111111,3.2222222222222223,Urban
2024,Aarhus,2008.0,Begge,2709,172.16168327796234,61705.16795865633,2.399409376153562,82.83499446290143,11.184939091915837,3.580657069029162,Urban
2025,Aarhus,2009.0,Begge,2947,170.5446216491347,60178.31489650492,2.511028164234815,82.69426535459789,12.012215812690872,2.7824906684764166,Urban
2014,Aarhus,1998.0,Kvinde,1203,165.5453034081463,57140.980881130505,3.0756442227763925,80.63175394846218,14.54696591853699,1.7456359102244388,Urban
